lat,lon,ele,time,name,sat
10.01698771851711,-84.21883650256154,950.9593187136848,2017-11-13T14:36:23Z,Llegada a la parada de Alajuela -> Santa Barbara ,0
10.016903229224246,-84.21887195385256,946.1059847081848,2017-11-13T14:37:32Z,Parada de Bus tipo 3,0
10.018479845095529,-84.21945535670437,953.0905583134271,2017-11-13T14:38:25Z,Inicio de la ruta Alajuela -> Santa Barbara ,0
10.019868238927724,-84.21638029900916,947.4773767036853,2017-11-13T14:39:38Z,Parada de Bus tipo 1,0
10.021083613827543,-84.21011412763582,974.0681152693217,2017-11-13T14:43:03Z,Parada de Bus tipo 3,0
10.019975455289158,-84.20947516353162,975.8053900124941,2017-11-13T14:44:30Z,Parada de Bus tipo 1,0
10.018531869003068,-84.20565010737548,975.8128571888595,2017-11-13T14:46:29Z,Parada de Bus tipo 1,0
10.018517672297735,-84.20119495678443,974.8440913328579,2017-11-13T14:48:31Z,Parada de Bus tipo 3,0
10.019121924657096,-84.19725943631356,961.4250034021077,2017-11-13T14:50:04Z,Parada de Bus tipo 3,0
10.018337941775115,-84.19476571204076,979.4487010840467,2017-11-13T14:51:15Z,Parada de Bus tipo 3,0
10.019866563550915,-84.1922003418682,1004.9953210581913,2017-11-13T14:52:12Z,Parada de Bus tipo 3,0
10.021317372150477,-84.18996953476538,994.3466055712661,2017-11-13T14:53:08Z,Parada de Bus tipo 3,0
10.024554243330925,-84.18669650997066,1020.433661396721,2017-11-13T14:55:04Z,Parada de Bus tipo 3,0
10.026274277416876,-84.18411636562425,1042.509055230113,2017-11-13T14:56:10Z,Parada de Bus tipo 1,0
10.0268893037524,-84.18156225726815,1052.2036826555016,2017-11-13T14:57:22Z,Parada de Bus tipo 3,0
10.024740842771871,-84.17716122611121,1045.8924616274085,2017-11-13T14:58:45Z,Parada de Bus tipo 3,0
10.026444055746726,-84.17395617086116,1068.2380259699476,2017-11-13T14:59:59Z,Parada de Bus tipo 1,0
10.027736078093042,-84.17324830430431,1073.5766155516446,2017-11-13T15:00:44Z,Parada de Bus tipo 1,0
10.029486487252099,-84.17095978514092,1103.5619879413855,2017-11-13T15:01:49Z,Parada de Bus tipo 3,0
10.036881805814623,-84.16060832260702,1159.048652656745,2017-11-13T15:06:58Z,Fin de la ruta ,0
10.037125004075504,-84.16004828474448,1158.7040059365092,2017-11-13T15:07:22Z,Parada de Bus tipo 2,0
10.037102463695094,-84.15958212860586,1159.2537076261222,2017-11-13T15:07:35Z,Parada de Bus tipo 3,0
